,metric,measure,units,heat,volt,nice
27,Create/teardown of 100 threads,474.54118700000004,us / thread,41.2,1.3500,so nice
28,Create/teardown of 100 threads,471.38929400000006,us / thread,41.2,1.3500,so nice
29,Create/teardown of 100 threads,477.001667,us / thread,41.2,1.3500,so nice
30,Create/teardown of 100 processes,1870.439053,us / process,41.2,1.3500,so nice
31,Create/teardown of 100 processes,1879.291534,us / process,41.7,1.3500,so nice
32,Create/teardown of 100 processes,1789.960861,us / process,41.7,1.3500,so nice
33,Create/teardown of 100 processes,1926.748753,us / process,41.2,1.3500,so nice
34,Create/teardown of 100 processes,1875.1096730000002,us / process,41.2,1.3500,so nice
35,Create/teardown of 100 processes,1943.2497019999998,us / process,41.2,1.3500,so nice
36,Create/teardown of 100 processes,1801.040173,us / process,41.2,1.3500,so nice
37,Create/teardown of 100 processes,1771.5096469999999,us / process,41.7,1.3500,so nice
38,Create/teardown of 100 processes,1873.030663,us / process,41.2,1.3500,so nice
39,Create/teardown of 100 processes,1950.1113890000001,us / process,42.2,1.3500,so nice
40,Create/teardown of 100 processes,1917.3288350000003,us / process,41.2,1.3500,so nice
41,Create/teardown of 100 processes,1934.1897960000001,us / process,41.7,1.3500,so nice
42,Create/teardown of 100 processes,1891.5510179999999,us / process,41.2,1.3500,so nice
43,Create/teardown of 100 processes,1933.9179989999998,us / process,42.2,1.3500,so nice
44,Create/teardown of 100 processes,1918.1895260000001,us / process,41.2,1.3500,so nice
45,Create/teardown of 100 processes,1884.179115,us / process,42.2,1.3500,so nice
46,Create/teardown of 100 processes,1902.5182719999998,us / process,42.2,1.3500,so nice
47,Create/teardown of 100 processes,1891.419888,us / process,42.2,1.3500,so nice
48,Create/teardown of 100 processes,1801.5503879999999,us / process,41.7,1.3500,so nice
49,Create/teardown of 100 processes,1909.9998469999998,us / process,42.2,1.3500,so nice
50,Create/teardown of 100 processes,1971.459389,us / process,42.2,1.3500,so nice
51,Create/teardown of 100 processes,1878.2782550000002,us / process,41.7,1.3500,so nice
52,Create/teardown of 100 processes,1939.620972,us / process,42.2,1.3500,so nice
53,Create/teardown of 100 processes,1900.699139,us / process,42.2,1.3500,so nice
54,Create/teardown of 100 processes,1930.401325,us / process,42.2,1.3500,so nice
55,Create/teardown of 100 processes,1887.168884,us / process,41.7,1.3500,so nice
56,Create/teardown of 100 processes,1868.1693079999998,us / process,41.2,1.3500,so nice
57,Create/teardown of 100 processes,1886.968613,us / process,42.2,1.3500,so nice
58,Create/teardown of 100 processes,1887.710094,us / process,42.2,1.3500,so nice
59,Create/teardown of 100 processes,1915.7004359999999,us / process,42.2,1.3500,so nice
60,Launch 100 programs,6115.20052,us / program,41.2,1.3500,so nice
61,Launch 100 programs,6110.467911,us / program,42.2,1.3500,so nice
62,Launch 100 programs,6106.591225,us / program,42.2,1.3500,so nice
63,Launch 100 programs,6335.780621,us / program,42.2,1.3500,so nice
64,Launch 100 programs,6222.589016,us / program,42.8,1.3500,so nice
65,Launch 100 programs,6162.118912,us / program,42.2,1.3500,so nice
66,Launch 100 programs,6161.129475,us / program,42.2,1.3500,so nice
67,Launch 100 programs,6103.498936,us / program,42.2,1.3500,so nice
68,Launch 100 programs,6115.031242,us / program,42.2,1.3500,so nice
69,Launch 100 programs,6208.670139,us / program,42.2,1.3500,so nice
70,Launch 100 programs,6122.601032,us / program,42.2,1.3500,so nice
71,Launch 100 programs,6218.261719,us / program,42.2,1.3500,so nice
72,Launch 100 programs,6121.518612,us / program,41.7,1.3500,so nice
73,Launch 100 programs,6153.91016,us / program,42.2,1.3500,so nice
74,Launch 100 programs,6125.659943,us / program,42.2,1.3500,so nice
75,Launch 100 programs,6147.940159000001,us / program,42.8,1.3500,so nice
76,Launch 100 programs,6137.249470000001,us / program,42.2,1.3500,so nice
77,Launch 100 programs,6260.6501579999995,us / program,42.2,1.3500,so nice
78,Launch 100 programs,6133.310795,us / program,42.2,1.3500,so nice
79,Launch 100 programs,6155.240536,us / program,42.2,1.3500,so nice
80,Launch 100 programs,6136.469841,us / program,42.8,1.3500,so nice
81,Launch 100 programs,6129.720211,us / program,42.2,1.3500,so nice
82,Launch 100 programs,6145.758629,us / program,42.8,1.3500,so nice
83,Launch 100 programs,6124.989986,us / program,42.8,1.3500,so nice
84,Launch 100 programs,6111.550331,us / program,42.2,1.3500,so nice
85,Launch 100 programs,6099.13826,us / program,42.8,1.3500,so nice
86,Launch 100 programs,6165.809631,us / program,42.2,1.3500,so nice
87,Launch 100 programs,6119.599342,us / program,42.2,1.3500,so nice
88,Launch 100 programs,6348.171234,us / program,42.2,1.3500,so nice
89,Launch 100 programs,6091.7806630000005,us / program,42.2,1.3500,so nice
90,Allocate/free 1000000 memory chunks (4-128 bytes),1239.075184,ns / alloc,43.3,1.3500,so nice
91,Allocate/free 1000000 memory chunks (4-128 bytes),1231.869936,ns / alloc,42.2,1.3500,so nice
92,Allocate/free 1000000 memory chunks (4-128 bytes),1263.400078,ns / alloc,43.3,1.3500,so nice
93,Allocate/free 1000000 memory chunks (4-128 bytes),1263.6759279999999,ns / alloc,42.8,1.3500,so nice
94,Allocate/free 1000000 memory chunks (4-128 bytes),1240.716934,ns / alloc,42.8,1.3500,so nice
95,Allocate/free 1000000 memory chunks (4-128 bytes),1358.7150570000001,ns / alloc,42.8,1.3500,so nice
96,Allocate/free 1000000 memory chunks (4-128 bytes),1229.4089789999998,ns / alloc,42.8,1.3500,so nice
97,Allocate/free 1000000 memory chunks (4-128 bytes),1276.7920490000001,ns / alloc,42.8,1.3500,so nice
98,Allocate/free 1000000 memory chunks (4-128 bytes),1247.698784,ns / alloc,42.8,1.3500,so nice
99,Allocate/free 1000000 memory chunks (4-128 bytes),1233.225107,ns / alloc,42.8,1.3500,so nice
100,Allocate/free 1000000 memory chunks (4-128 bytes),1251.75786,ns / alloc,42.8,1.3500,so nice
101,Allocate/free 1000000 memory chunks (4-128 bytes),1246.198893,ns / alloc,42.8,1.3500,so nice
102,Allocate/free 1000000 memory chunks (4-128 bytes),1237.939835,ns / alloc,42.8,1.3500,so nice
103,Allocate/free 1000000 memory chunks (4-128 bytes),1252.1748539999999,ns / alloc,42.8,1.3500,so nice
104,Allocate/free 1000000 memory chunks (4-128 bytes),1255.7599539999999,ns / alloc,42.8,1.3500,so nice
105,Allocate/free 1000000 memory chunks (4-128 bytes),1256.82807,ns / alloc,42.8,1.3500,so nice
106,Allocate/free 1000000 memory chunks (4-128 bytes),1255.488873,ns / alloc,42.8,1.3500,so nice
107,Allocate/free 1000000 memory chunks (4-128 bytes),1238.982916,ns / alloc,42.8,1.3500,so nice
108,Allocate/free 1000000 memory chunks (4-128 bytes),1256.528139,ns / alloc,43.3,1.3500,so nice
109,Allocate/free 1000000 memory chunks (4-128 bytes),1438.632011,ns / alloc,42.8,1.3500,so nice
110,Allocate/free 1000000 memory chunks (4-128 bytes),1242.683172,ns / alloc,42.8,1.3500,so nice
111,Allocate/free 1000000 memory chunks (4-128 bytes),1248.3339310000001,ns / alloc,43.3,1.3500,so nice
112,Allocate/free 1000000 memory chunks (4-128 bytes),1281.326056,ns / alloc,42.8,1.3500,so nice
113,Allocate/free 1000000 memory chunks (4-128 bytes),1247.148037,ns / alloc,43.3,1.3500,so nice
114,Allocate/free 1000000 memory chunks (4-128 bytes),1264.940023,ns / alloc,42.8,1.3500,so nice
115,Allocate/free 1000000 memory chunks (4-128 bytes),1229.495049,ns / alloc,42.8,1.3500,so nice
116,Allocate/free 1000000 memory chunks (4-128 bytes),1256.967068,ns / alloc,43.3,1.3500,so nice
117,Allocate/free 1000000 memory chunks (4-128 bytes),1244.4059849999999,ns / alloc,42.8,1.3500,so nice
118,Allocate/free 1000000 memory chunks (4-128 bytes),1294.071913,ns / alloc,43.3,1.3500,so nice
119,Allocate/free 1000000 memory chunks (4-128 bytes),1231.878042,ns / alloc,43.3,1.3500,so nice
120,Create/teardown of 100 threads,475.378036,us / thread,42.8,1.3500,not nice
121,Create/teardown of 100 threads,473.04868700000003,us / thread,42.8,1.3500,not nice
122,Create/teardown of 100 threads,476.300716,us / thread,43.3,1.3500,not nice
123,Create/teardown of 100 threads,474.10011299999996,us / thread,42.8,1.3500,not nice
124,Create/teardown of 100 threads,475.590229,us / thread,43.3,1.3500,not nice
125,Create/teardown of 100 threads,470.590591,us / thread,43.3,1.3500,not nice
126,Create/teardown of 100 threads,474.53165099999995,us / thread,42.8,1.3500,not nice
127,Create/teardown of 100 threads,477.910042,us / thread,42.8,1.3500,not nice
128,Create/teardown of 100 threads,475.63075999999995,us / thread,42.8,1.3500,not nice
129,Create/teardown of 100 threads,479.679108,us / thread,42.8,1.3500,not nice
130,Create/teardown of 100 threads,475.26121100000006,us / thread,42.8,1.3500,not nice
131,Create/teardown of 100 threads,474.040508,us / thread,43.3,1.3500,not nice
132,Create/teardown of 100 threads,473.32048399999996,us / thread,43.3,1.3500,not nice
133,Create/teardown of 100 threads,473.75202199999995,us / thread,43.3,1.3500,not nice
134,Create/teardown of 100 threads,479.550362,us / thread,42.8,1.3500,not nice
135,Create/teardown of 100 threads,471.410751,us / thread,42.8,1.3500,not nice
136,Create/teardown of 100 threads,478.30104800000004,us / thread,42.8,1.3500,not nice
137,Create/teardown of 100 threads,476.18865999999997,us / thread,42.8,1.3500,not nice
138,Create/teardown of 100 threads,474.65085999999997,us / thread,43.3,1.3500,not nice
139,Create/teardown of 100 threads,477.13995,us / thread,43.3,1.3500,not nice
140,Create/teardown of 100 threads,476.70126,us / thread,42.8,1.3500,not nice
141,Create/teardown of 100 threads,475.05140300000005,us / thread,42.2,1.3500,not nice
142,Create/teardown of 100 threads,480.988026,us / thread,42.8,1.3500,not nice
143,Create/teardown of 100 threads,479.519367,us / thread,42.2,1.3500,not nice
144,Create/teardown of 100 threads,479.240417,us / thread,42.8,1.3500,not nice
145,Create/teardown of 100 threads,480.18932300000006,us / thread,43.3,1.3500,not nice
146,Create/teardown of 100 threads,476.67026500000003,us / thread,42.8,1.3500,not nice
147,Create/teardown of 100 threads,476.059914,us / thread,42.8,1.3500,not nice
148,Create/teardown of 100 threads,480.191708,us / thread,43.3,1.3500,not nice
149,Create/teardown of 100 threads,476.639271,us / thread,42.8,1.3500,not nice
150,Create/teardown of 100 processes,1899.521351,us / process,42.8,1.3500,not nice
151,Create/teardown of 100 processes,1953.6685940000002,us / process,42.8,1.3500,not nice
152,Create/teardown of 100 processes,1979.5489309999998,us / process,42.8,1.3500,not nice
153,Create/teardown of 100 processes,1928.6799429999999,us / process,42.2,1.3500,not nice
154,Create/teardown of 100 processes,1920.638084,us / process,42.2,1.3500,not nice
155,Create/teardown of 100 processes,1905.6987760000002,us / process,42.8,1.3500,not nice
156,Create/teardown of 100 processes,1900.6299969999998,us / process,42.8,1.3500,not nice
157,Create/teardown of 100 processes,1806.9911,us / process,42.2,1.3500,not nice
158,Create/teardown of 100 processes,1892.068386,us / process,42.2,1.3500,not nice
159,Create/teardown of 100 processes,1924.881935,us / process,42.8,1.3500,not nice
160,Create/teardown of 100 processes,1898.4484670000002,us / process,42.8,1.3500,not nice
161,Create/teardown of 100 processes,1898.372173,us / process,42.2,1.3500,not nice
162,Create/teardown of 100 processes,1924.431324,us / process,42.8,1.3500,not nice
163,Create/teardown of 100 processes,1921.720505,us / process,42.8,1.3500,not nice
164,Create/teardown of 100 processes,1881.639957,us / process,42.2,1.3500,not nice
165,Create/teardown of 100 processes,1975.791454,us / process,42.8,1.3500,not nice
166,Create/teardown of 100 processes,1792.0398710000002,us / process,42.8,1.3500,not nice
167,Create/teardown of 100 processes,1911.001205,us / process,42.2,1.3500,not nice
168,Create/teardown of 100 processes,1898.500919,us / process,42.8,1.3500,not nice
169,Create/teardown of 100 processes,1918.749809,us / process,42.8,1.3500,not nice
170,Create/teardown of 100 processes,1899.5189670000002,us / process,42.2,1.3500,not nice
171,Create/teardown of 100 processes,1902.3990629999998,us / process,42.8,1.3500,not nice
172,Create/teardown of 100 processes,1901.378632,us / process,42.2,1.3500,not nice
173,Create/teardown of 100 processes,1945.2905649999998,us / process,42.8,1.3500,not nice
174,Create/teardown of 100 processes,1808.1593510000002,us / process,42.2,1.3500,not nice
175,Create/teardown of 100 processes,1906.168461,us / process,42.8,1.3500,not nice
176,Create/teardown of 100 processes,1921.5798379999999,us / process,42.2,1.3500,not nice
177,Create/teardown of 100 processes,1909.3418120000001,us / process,42.8,1.3500,not nice
178,Create/teardown of 100 processes,1934.1897960000001,us / process,42.8,1.3500,not nice
179,Create/teardown of 100 processes,1905.720234,us / process,42.8,1.3500,not nice
180,Launch 100 programs,6115.009785,us / program,42.2,1.3500,not nice
181,Launch 100 programs,6355.128288,us / program,42.8,1.3500,not nice
182,Launch 100 programs,6243.11924,us / program,42.2,1.3500,not nice
183,Launch 100 programs,6319.379807,us / program,42.2,1.3500,not nice
184,Launch 100 programs,6275.6204609999995,us / program,42.8,1.3500,not nice
185,Launch 100 programs,6129.660606,us / program,42.8,1.3500,not nice
186,Launch 100 programs,6161.460876,us / program,42.8,1.3500,not nice
187,Launch 100 programs,6106.858253,us / program,42.2,1.3500,not nice
188,Launch 100 programs,6144.528389,us / program,42.8,1.3500,not nice
189,Launch 100 programs,6245.648861,us / program,42.2,1.3500,not nice
190,Launch 100 programs,6289.169788,us / program,42.2,1.3500,not nice
191,Launch 100 programs,6123.149395,us / program,42.8,1.3500,not nice
192,Launch 100 programs,6364.650726,us / program,42.2,1.3500,not nice
193,Launch 100 programs,6191.8687820000005,us / program,42.2,1.3500,not nice
194,Launch 100 programs,6271.560192,us / program,42.2,1.3500,not nice
195,Launch 100 programs,6098.690033,us / program,42.8,1.3500,not nice
196,Launch 100 programs,6128.30162,us / program,42.2,1.3500,not nice
197,Launch 100 programs,6248.271465,us / program,42.8,1.3500,not nice
198,Launch 100 programs,6228.060722,us / program,42.8,1.3500,not nice
199,Launch 100 programs,6155.831814,us / program,42.2,1.3500,not nice
200,Launch 100 programs,6126.62077,us / program,43.3,1.3500,not nice
201,Launch 100 programs,6133.420467,us / program,42.8,1.3500,not nice
202,Launch 100 programs,6160.190105,us / program,42.2,1.3500,not nice
203,Launch 100 programs,6238.451004,us / program,42.8,1.3500,not nice
204,Launch 100 programs,6143.391132,us / program,42.2,1.3500,not nice
205,Launch 100 programs,6118.690968,us / program,42.8,1.3500,not nice
206,Launch 100 programs,6166.56065,us / program,42.8,1.3500,not nice
207,Launch 100 programs,6164.689064,us / program,42.8,1.3500,not nice
208,Launch 100 programs,6125.80061,us / program,42.8,1.3500,not nice
209,Launch 100 programs,6161.339283,us / program,42.8,1.3500,not nice
210,Allocate/free 1000000 memory chunks (4-128 bytes),1230.020046,ns / alloc,43.3,1.3500,not nice
211,Allocate/free 1000000 memory chunks (4-128 bytes),1266.144037,ns / alloc,42.8,1.3500,not nice
212,Allocate/free 1000000 memory chunks (4-128 bytes),1254.127026,ns / alloc,42.8,1.3500,not nice
213,Allocate/free 1000000 memory chunks (4-128 bytes),1239.692926,ns / alloc,42.8,1.3500,not nice
214,Allocate/free 1000000 memory chunks (4-128 bytes),1569.4148539999999,ns / alloc,42.8,1.3500,not nice
215,Allocate/free 1000000 memory chunks (4-128 bytes),1252.1018980000001,ns / alloc,42.8,1.3500,not nice
216,Allocate/free 1000000 memory chunks (4-128 bytes),1232.764006,ns / alloc,42.8,1.3500,not nice
217,Allocate/free 1000000 memory chunks (4-128 bytes),1234.225035,ns / alloc,43.3,1.3500,not nice
218,Allocate/free 1000000 memory chunks (4-128 bytes),1231.311798,ns / alloc,43.3,1.3500,not nice
219,Allocate/free 1000000 memory chunks (4-128 bytes),1233.448029,ns / alloc,42.8,1.3500,not nice
220,Allocate/free 1000000 memory chunks (4-128 bytes),1263.4549140000001,ns / alloc,43.3,1.3500,not nice
221,Allocate/free 1000000 memory chunks (4-128 bytes),1254.3799880000001,ns / alloc,42.8,1.3500,not nice
222,Allocate/free 1000000 memory chunks (4-128 bytes),1573.551893,ns / alloc,42.8,1.3500,not nice
223,Allocate/free 1000000 memory chunks (4-128 bytes),1249.433994,ns / alloc,42.8,1.3500,not nice
224,Allocate/free 1000000 memory chunks (4-128 bytes),1253.412008,ns / alloc,43.3,1.3500,not nice
225,Allocate/free 1000000 memory chunks (4-128 bytes),1271.330833,ns / alloc,42.8,1.3500,not nice
226,Allocate/free 1000000 memory chunks (4-128 bytes),1254.2471890000002,ns / alloc,43.3,1.3500,not nice
227,Allocate/free 1000000 memory chunks (4-128 bytes),1361.293077,ns / alloc,43.3,1.3500,not nice
228,Allocate/free 1000000 memory chunks (4-128 bytes),1232.0220470000002,ns / alloc,43.3,1.3500,not nice
229,Allocate/free 1000000 memory chunks (4-128 bytes),1229.9051279999999,ns / alloc,43.3,1.3500,not nice
230,Allocate/free 1000000 memory chunks (4-128 bytes),1265.605927,ns / alloc,43.3,1.3500,not nice
231,Allocate/free 1000000 memory chunks (4-128 bytes),1246.4830880000002,ns / alloc,43.3,1.3500,not nice
232,Allocate/free 1000000 memory chunks (4-128 bytes),1238.966942,ns / alloc,43.3,1.3500,not nice
233,Allocate/free 1000000 memory chunks (4-128 bytes),1256.699085,ns / alloc,43.3,1.3500,not nice
234,Allocate/free 1000000 memory chunks (4-128 bytes),1255.157232,ns / alloc,42.8,1.3500,not nice
235,Allocate/free 1000000 memory chunks (4-128 bytes),1230.2520279999999,ns / alloc,42.8,1.3500,not nice
236,Allocate/free 1000000 memory chunks (4-128 bytes),1256.2310699999998,ns / alloc,43.3,1.3500,not nice
237,Allocate/free 1000000 memory chunks (4-128 bytes),1451.209068,ns / alloc,42.8,1.3500,not nice
238,Allocate/free 1000000 memory chunks (4-128 bytes),1337.970972,ns / alloc,43.3,1.3500,not nice
239,Allocate/free 1000000 memory chunks (4-128 bytes),1247.782946,ns / alloc,43.3,1.3500,not nice
